Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
"Remember Summer Days","Anri","Timely!!","favs","Playlist","JPFL08310230","951927482"
"L'amore dice Ciao (Main Titles) (Remastered)","Armando Trovajoli","The Libertine (Original Motion Picture Soundtrack)","favs","Playlist","ITD061303531","78821485"
"Rain","Steve Conte","COWBOY BEBOP (Original Motion Picture Soundtrack)","favs","Playlist","JPVI09809360","1006888322"
"Strawberry Perfume","Chenayder","Blue Oblivion","favs","Playlist","USQX92302515","2255425397"
"Swing Lynn","Harmless","I'm Sure","favs","Playlist","TCACS1610798","1592550801"
"Loveyou","j^p^n","Unkind","favs","Playlist","QZARB1840736","1374542552"
"Woman (Remastered 2010)","John Lennon","Double Fantasy: Stripped Down","favs","Playlist","USTO11000024","7163159"
"Dijamanti","z++","Dijamanti","favs","Playlist","HRA8C2100042","1406089922"
"Juna","Clairo","Charm","favs","Playlist","USA2P2416229","2759124521"
"Echo","Clairo","Charm","favs","Playlist","USA2P2416231","2759124541"
"Glory of the Snow","Clairo","Charm","favs","Playlist","USA2P2416232","2759124551"
"Milk (2021 Remaster)","Sweet Trip","You Will Never Know Why (2021 Remaster)","favs","Playlist","USA4D2122205","1190576232"
"Pulse","Sweet Trip","Halica: Bliss Out v.11","favs","Playlist","USA4D9805702","10860761"
"Smile","Lily Allen","Alright, Still (Deluxe)","favs","Playlist","GBAYE0600734","3165194"
"Reptilia","The Strokes","Room On Fire","favs","Playlist","USRC10301519","14880812"
"September","Earth, Wind & Fire","September","favs","Playlist","USSM17800845","487484142"
"Harvey","Her's","Invitation to Her's","favs","Playlist","GBYEJ1800003","503029332"
"Birds Dont Sing","TV Girl","French Exit","favs","Playlist","USHM21438136","1751425957"
"Second Nature","Clairo","Charm","favs","Playlist","USA2P2416225","2759124481"
"Darling, I (feat. Teezo Touchdown)","Tyler, The Creator","CHROMAKOPIA","favs","Playlist","USQX92405786","3064010321"
"the perfect pair","beabadoobee","Beatopia","favs","Playlist","GBK3W2202093","1641651592"
"Love Is Everywhere","Magdalena Bay","Imaginal Disk","favs","Playlist","USQE92400103","2952998311"
